Month,Category,Amount
2025-01,Fixed,621958
2025-01,Variable,771155
2025-02,Fixed,631932
2025-02,Variable,359178
2025-03,Fixed,610268
2025-03,Variable,832180
2025-04,Fixed,1603462
2025-04,Variable,237337
2025-05,Fixed,1499890
2025-05,Variable,1236074
2025-06,Fixed,1412756
2025-06,Variable,275203
2025-07,Fixed,1739911
2025-07,Variable,378167
2025-08,Fixed,541090
2025-08,Variable,429365
2025-09,Fixed,1613396
2025-09,Variable,887201
2025-10,Fixed,1870455
2025-10,Variable,427069
2025-11,Fixed,1747617
2025-11,Variable,891743
2025-12,Fixed,603355
2025-12,Variable,1384372
2024-01,Fixed,1762752
2024-01,Variable,284779
2024-02,Fixed,1896025
2024-02,Variable,1089436
2024-03,Fixed,1807371
2024-03,Variable,586232
2024-04,Fixed,1417040
2024-04,Variable,256730
2024-05,Fixed,1933257
2024-05,Variable,1298079
2024-06,Fixed,1154811
2024-06,Variable,627035
2024-07,Fixed,1148143
2024-07,Variable,165725
2024-08,Fixed,1678557
2024-08,Variable,184654
2024-09,Fixed,1453277
2024-09,Variable,691723
2024-10,Fixed,819030
2024-10,Variable,1477523
2024-11,Fixed,1055839
2024-11,Variable,373538
2024-12,Fixed,831236
2024-12,Variable,628178
2023-01,Fixed,1065894
2023-01,Variable,589492
2023-02,Fixed,1805416
2023-02,Variable,573254
2023-03,Fixed,849457
2023-03,Variable,765987
2023-04,Fixed,1819512
2023-04,Variable,1388507
2023-05,Fixed,1788205
2023-05,Variable,1353617
2023-06,Fixed,1198361
2023-06,Variable,168148
2023-07,Fixed,1148531
2023-07,Variable,1400571
2023-08,Fixed,1406606
2023-08,Variable,778843
2023-09,Fixed,1072843
2023-09,Variable,356508
2023-10,Fixed,1303591
2023-10,Variable,996942
2023-11,Fixed,606530
2023-11,Variable,704365
2023-12,Fixed,960337
2023-12,Variable,905889
2022-01,Fixed,708261
2022-01,Variable,1489673
2022-02,Fixed,1863715
2022-02,Variable,1320405
2022-03,Fixed,771836
2022-03,Variable,1089913
2022-04,Fixed,702283
2022-04,Variable,296769
2022-05,Fixed,1061353
2022-05,Variable,1371741
2022-06,Fixed,1546797
2022-06,Variable,1050110
2022-07,Fixed,987879
2022-07,Variable,664685
2022-08,Fixed,1282038
2022-08,Variable,1411736
2022-09,Fixed,1507293
2022-09,Variable,679879
2022-10,Fixed,1769460
2022-10,Variable,123247
2022-11,Fixed,1572876
2022-11,Variable,707086
2022-12,Fixed,1033556
2022-12,Variable,1497527
2021-01,Fixed,1822905
2021-01,Variable,842139
2021-02,Fixed,932315
2021-02,Variable,1026075
2021-03,Fixed,1016588
2021-03,Variable,1385160
2021-04,Fixed,1478732
2021-04,Variable,148984
2021-05,Fixed,802918
2021-05,Variable,364712
2021-06,Fixed,1668727
2021-06,Variable,233767
2021-07,Fixed,1148663
2021-07,Variable,236330
2021-08,Fixed,980754
2021-08,Variable,1450224
2021-09,Fixed,513986
2021-09,Variable,686146
2021-10,Fixed,1677888
2021-10,Variable,112666
2021-11,Fixed,1849380
2021-11,Variable,234633
2021-12,Fixed,788998
2021-12,Variable,950937
