Month,Category,Type,Amount
2025-01,Fixed,Salaries,55195800
2025-01,Fixed,Loan fees,1171155
2025-01,Fixed,SignOn bonus,61932
2025-01,Fixed,Loyalty bonus Costs,914414
2025-01,Variable,Performance Bonuses,359178
2025-01,Variable,Retention bonus,210268
2025-01,Fixed, Amortisation (transfer),5832180
2025-01,Fixed, Amortisation (club agent),1203462
2025-01,Fixed, Player agent fees,1458000
2025-02,Fixed,Salaries,637337
2025-02,Fixed,Loan fees,1499890
2025-02,Fixed,SignOn bonus,636074
2025-02,Fixed,Loyalty bonus Costs,412756
2025-02,Variable,Performance Bonuses,275203
2025-02,Variable,Retention bonus,1339911
2025-02,Fixed, Amortisation (transfer),5378167
2025-02,Fixed, Amortisation (club agent),141090
2025-02,Fixed, Player agent fees,1458000
2025-03,Fixed,Salaries,829365
2025-03,Fixed,Loan fees,1613396
2025-03,Fixed,SignOn bonus,287201
2025-03,Fixed,Loyalty bonus Costs,70455
2025-03,Variable,Performance Bonuses,427069
2025-03,Variable,Retention bonus,1347617
2025-03,Fixed, Amortisation (transfer),8891743
2025-03,Fixed, Amortisation (club agent),203355
2025-03,Fixed, Player agent fees,1458000
2025-04,Fixed,Salaries,1784372
2025-04,Fixed,Loan fees,1762752
2025-04,Fixed,SignOn bonus,84779
2025-04,Fixed,Loyalty bonus Costs,96025
2025-04,Variable,Performance Bonuses,1089436
2025-04,Variable,Retention bonus,1407371
2025-04,Fixed, Amortisation (transfer),8586232
2025-04,Fixed, Amortisation (club agent),1017040
2025-05,Fixed,Salaries,656730
2025-05,Fixed,Loan fees,1933257
2025-05,Fixed,SignOn bonus,1698079
2025-05,Fixed,Loyalty bonus Costs,54811
2025-05,Variable,Performance Bonuses,27035
2025-05,Variable,Retention bonus,748143
2025-05,Fixed, Amortisation (transfer),8165725
2025-05,Fixed, Amortisation (club agent),1278557
2025-06,Fixed,Salaries,584654
2025-06,Fixed,Loan fees,1453277
2025-06,Fixed,SignOn bonus,91723
2025-06,Fixed,Loyalty bonus Costs,19030
2025-06,Variable,Performance Bonuses,1477523
2025-06,Variable,Retention bonus,655839
2025-06,Fixed, Amortisation (transfer),8373538
2025-06,Fixed, Amortisation (club agent),431236
2025-07,Fixed,Salaries,1028178
2025-07,Fixed,Loan fees,1065894
2025-07,Fixed,SignOn bonus,89492
2025-07,Fixed,Loyalty bonus Costs,805416
2025-07,Variable,Performance Bonuses,573254
2025-07,Variable,Retention bonus,449457
2025-07,Fixed, Amortisation (transfer),6765987
2025-07,Fixed, Amortisation (club agent),1419512
2025-08,Fixed,Salaries,1788507
2025-08,Fixed,Loan fees,1788205
2025-08,Fixed,SignOn bonus,53617
2025-08,Fixed,Loyalty bonus Costs,98361
2025-08,Variable,Performance Bonuses,168148
2025-08,Variable,Retention bonus,748531
2025-08,Fixed, Amortisation (transfer),15400571
2025-08,Fixed, Amortisation (club agent),1006606
2025-09,Fixed,Salaries,1178843
2025-09,Fixed,Loan fees,1072843
2025-09,Fixed,SignOn bonus,756508
2025-09,Fixed,Loyalty bonus Costs,303591
2025-09,Variable,Performance Bonuses,996942
2025-09,Variable,Retention bonus,206530
2025-09,Fixed, Amortisation (transfer),5704365
2025-09,Fixed, Amortisation (club agent),560337
2025-10,Fixed,Salaries,1305889
2025-10,Fixed,Loan fees,708261
2025-10,Fixed,SignOn bonus,889673
2025-10,Fixed,Loyalty bonus Costs,863715
2025-10,Variable,Performance Bonuses,1320405
2025-10,Variable,Retention bonus,371836
2025-10,Fixed, Amortisation (transfer),51089913
2025-10,Fixed, Amortisation (club agent),302283
2025-11,Fixed,Salaries,696769
2025-11,Fixed,Loan fees,1061353
2025-11,Fixed,SignOn bonus,1771741
2025-11,Fixed,Loyalty bonus Costs,1546797
2025-11,Variable,Performance Bonuses,1050110
2025-11,Variable,Retention bonus,587879
2025-11,Fixed, Amortisation (transfer),7664685
2025-11,Fixed, Amortisation (club agent),882038
2025-12,Fixed,Salaries,1902107
2025-12,Fixed,Loan fees,1811736
2025-12,Fixed,SignOn bonus,507293
2025-12,Fixed,Loyalty bonus Costs,79879
2025-12,Variable,Performance Bonuses,1369460
2025-12,Variable,Retention bonus,123247
2025-12,Fixed, Amortisation (transfer),71172876
2025-12,Fixed, Amortisation (club agent),707086
2024-01,Fixed,Salaries,1033556
2024-01,Fixed,Loan fees,1897527
2024-01,Fixed,SignOn bonus,1822905
2024-01,Fixed,Loyalty bonus Costs,1242139
2024-01,Variable,Performance Bonuses,532315
